release_date,release_tag,version,major,no_pkgs,no_classes,cost_usd,cost_month,cost_people,no_langs,lines,loc,comments,complexity,no_deps,no_open_issues,mean_h_close,median_h_close,no_pkgs_diff,no_classes_diff,cost_usd_diff,cost_month_diff,cost_people_diff,no_langs_diff,loc_diff,comments_diff,complexity_diff,no_deps_diff,no_open_issues_diff,mean_h_close_diff,median_h_close_diff
2016-02-02,gaffer2-0.3.0,0.3.0,0,91,417,1.1,14.1,7,8,53837,33.4,13.3,1560,,1,196,88,,,,,,,,,,,,,
2016-08-02,gaffer2-0.4.0,0.4.0,0,127,643,2.5,19.5,11,14,110302,74.8,22.4,4931,3,66,173,46,28.3,35.1,57.1,27.5,40.8,42.9,55.3,40.4,68.4,,98.5,-13.3,-91.3
2017-01-04,gaffer2-0.5.0,0.5.0,0,137,750,3.0,20.9,13,15,129758,89.1,25.4,5908,26,64,422,48,7.3,14.3,16.8,6.7,10.8,6.7,16.0,11.8,16.5,88.5,-3.1,59.0,4.2
2017-01-19,gaffer2-0.6.0,0.6.0,0,150,813,3.2,21.3,13,15,136190,93.7,26.5,6104,28,52,417,49,8.7,7.7,5.1,2.0,3.2,0.0,4.9,4.3,3.2,7.1,-23.1,-1.2,2.0
2017-05-05,gaffer2-0.7.0,0.7.0,0,205,904,3.8,22.9,15,16,155400,112.0,27.0,6571,28,65,430,45,26.8,10.1,17.1,6.9,11.0,6.2,16.4,1.8,7.1,0.0,20.0,3.0,-8.9
2017-10-11,gaffer2-1.0.0,1.0.0,1,263,1312,5.4,26.1,18,15,225330,155.4,43.2,12035,29,71,439,46,22.1,31.1,29.1,12.2,19.2,-6.7,27.9,37.5,45.4,3.4,8.5,2.1,2.2
2017-11-08,gaffer2-1.1.0,1.1.0,1,266,1369,5.7,26.6,19,15,236006,162.6,45.2,12535,29,82,428,46,1.1,4.2,4.7,1.8,2.9,0.0,4.4,4.5,4.0,0.0,13.4,-2.6,0.0
2018-01-03,gaffer2-1.2.0,1.2.0,1,278,1439,5.9,27.0,19,15,246206,169.2,47.5,12772,30,69,485,49,4.3,4.9,4.1,1.6,2.6,0.0,3.9,4.8,1.9,3.3,-18.8,11.8,6.1
2018-02-02,gaffer2-1.3.0,1.3.0,1,291,1488,6.1,27.4,20,15,254520,174.9,49.2,13026,30,54,489,49,4.5,3.3,3.4,1.3,2.1,0.0,3.2,3.4,1.9,0.0,-27.8,0.8,0.0
2018-04-04,gaffer2-1.4.0,1.4.0,1,293,1549,6.3,27.7,20,15,263058,180.8,50.5,13332,30,72,473,47,0.7,3.9,3.5,1.3,2.2,0.0,3.3,2.7,2.3,0.0,25.0,-3.4,-4.3
2018-05-25,gaffer2-1.5.0,1.5.0,1,293,1602,6.5,28.0,21,15,269885,185.6,51.7,13526,30,67,480,49,0.0,3.3,2.7,1.0,1.7,0.0,2.6,2.2,1.4,0.0,-7.5,1.5,4.1
2018-08-13,gaffer2-1.6.0,1.6.0,1,297,1613,6.6,28.2,21,15,272927,187.9,52.0,13774,30,71,480,49,1.3,0.7,1.3,0.5,0.8,0.0,1.2,0.7,1.8,0.0,5.6,0.0,0.0
2018-10-04,gaffer2-1.7.0,1.7.0,1,297,1636,6.6,28.2,21,15,275011,189.3,52.5,13824,32,74,479,49,0.0,1.4,0.7,0.3,0.5,0.0,0.7,0.9,0.4,6.2,4.1,-0.2,0.0
2019-02-19,gaffer2-1.8.0,1.8.0,1,309,1709,6.9,28.6,21,15,285571,195.8,55.2,14098,32,113,469,50,3.9,4.3,3.5,1.3,2.2,0.0,3.3,4.9,1.9,0.0,34.5,-2.1,2.0
2019-04-15,gaffer2-1.9.0,1.9.0,1,309,1726,7.0,28.8,22,15,290275,199.4,55.4,14560,32,90,498,54,0.0,1.0,1.9,0.7,1.2,0.0,1.8,0.3,3.2,0.0,-25.6,5.8,7.4
2019-09-24,gaffer2-1.10.0,1.10.0,1,311,1737,7.1,28.9,22,15,292324,200.6,55.9,14610,32,85,503,64,0.6,0.6,0.6,0.2,0.4,0.0,0.6,1.0,0.3,0.0,-5.9,1.0,15.6
2020-02-20,gaffer2-1.11.0,1.11.0,1,311,1750,7.1,29.0,22,15,294986,202.5,56.3,14661,32,89,511,65,0.0,0.7,1.0,0.4,0.6,0.0,0.9,0.7,0.3,0.0,4.5,1.6,1.5
2020-05-13,gaffer2-1.12.0,1.12.0,1,312,1781,7.2,29.2,22,15,299150,205.4,56.9,14736,32,90,517,66,0.3,1.7,1.5,0.6,0.9,0.0,1.4,1.0,0.5,0.0,1.1,1.2,1.5
2020-09-10,gaffer2-1.13.0,1.13.0,1,319,1815,7.3,29.3,22,15,303282,208.2,57.2,14787,32,91,540,67,2.2,1.9,1.4,0.5,0.9,0.0,1.4,0.6,0.3,0.0,1.1,4.3,1.5
2021-01-14,gaffer2-1.14.0,1.14.0,1,326,1865,7.5,29.6,23,15,310056,212.6,58.6,14857,32,105,573,67,2.1,2.7,2.2,0.8,1.4,0.0,2.1,2.3,0.5,0.0,13.3,5.8,0.0
2021-02-02,gaffer2-1.15.0,1.15.0,1,327,1873,7.5,29.6,23,15,311123,213.4,58.7,14872,32,102,585,67,0.3,0.4,0.4,0.2,0.3,0.0,0.4,0.2,0.1,0.0,-2.9,2.1,0.0
2021-04-06,gaffer2-1.16.0,1.16.0,1,329,1880,7.6,29.7,23,15,311765,213.9,58.8,14882,32,101,598,67,0.6,0.4,0.2,0.1,0.1,0.0,0.2,0.2,0.1,0.0,-1.0,2.2,0.0
